,Player,Position,season,draft_score
538,Nick Ross,D,2007,1.4410661397442328
539,John Vigilante,LW,2003,1.440142049379269
540,Ben Thomas,D,2014,1.439061462679868
541,Michaël Bournival,W/C,2010,1.4389494641837288
542,Chris Bigras,D,2013,1.4389128035467946
543,John Mitchell,C/LW,2003,1.438854372952805
544,Kale Clague,D,2016,1.4374909182718447
545,Tyler Pitlick,C/RW,2010,1.4371353492342014
546,Justin Dowling,C,2009,1.4366022093893482
547,Jesse Puljujärvi,RW,2016,1.4365685137038235
548,Duncan Siemens,D,2011,1.4350251843218929
549,Derek Joslin,D,2005,1.4322958412417743
550,Jamie McGinn,LW/RW,2006,1.4316752766669127
551,Luke Adam,C/LW,2008,1.4316537380732446
552,Joseph Garreffa,C/LW,2017,1.4301734517623466
553,Alex Limoges,C,2016,1.4286347631994136
554,Mark Katic,D,2007,1.428234141591235
555,Nick Ebert,D,2012,1.4281841785616
556,Josh Jacobs,D,2014,1.428129502577299
557,Eeli Tolvanen,LW,2017,1.4272789202541372
558,Colby Cohen,D,2007,1.4263445155567855
559,Brent Aubin,RW,2004,1.4259096757679317
560,Nick Sörensen,RW,2013,1.4257530924669826
561,Jarret Tyszka,D,2017,1.4255132481943
562,Matt Calvert,LW/RW,2008,1.4251801574150513
563,Jamie Oleksiak,D,2011,1.4247637181956474
564,Eemeli Räsänen,D,2017,1.4247189958738335
565,Chad Greenan,D,2006,1.4241496402712044
566,Mark Friedman,D,2014,1.4229247279031643
567,Gustav Bouramman,D,2015,1.4218646374630202
568,Kevin Marshall,D,2007,1.4207691931860253
569,Vojtech Polak,C/W,2003,1.4201568361033423
570,Cal Foote,D,2017,1.4199503311007677
571,John Armstrong,C,2006,1.4194906924810744
572,Graham Lillibridge,D,2017,1.41932481932262
573,Steven Delisle,D,2008,1.4182034228693823
574,Magnus Pääjärvi,LW/RW,2009,1.4179351685534325
575,Michael Rasmussen,C,2017,1.4175119521027186
576,Aaron Irving,D,2014,1.4169134311945926
577,Benoît Mondou,C/RW,2003,1.4166065372602654
578,Jakub Zboril,D,2015,1.414629830128841
579,Dillon Fournier,D,2012,1.4142716867023086
580,Alexei Cherepanov,RW,2007,1.4137928529955492
581,Jonas Brodin,D,2011,1.4126096336913936
582,Tanner Kaspick,C,2016,1.4123815145974428
583,Sami Vatanen,D,2009,1.410938536665383
584,Hugo Carpentier,C,2006,1.4108836736640453
585,Ty Wishart,D,2006,1.4104338346118401
586,Matt Rupert,LW,2012,1.4104112877013106
587,Nikita Zadorov,D,2013,1.4094594911456917
588,Blake Siebenaler,D,2014,1.4092070524586329
589,Joakim Ryan,D,2011,1.408818587677378
590,Darren Dietz,D,2011,1.4084318076448206
591,Ruslan Bashkirov,LW,2007,1.4083121064005844
592,Dalton Smith,LW,2010,1.4080730949472824
593,Dion Knelsen,C,2007,1.4074627205182422
594,Sean Bentivoglio,LW/C,2004,1.40711597758526
595,Colin Fraser,C/LW,2003,1.4056566232801138
596,Nathan Noel,C,2015,1.4048145796277423
597,Cody Corbett,D,2012,1.4025786585074131
598,Maxime Pomerleau,D,2007,1.4020069079698345
599,Wade Allison,RW,2016,1.4018277384998732
600,Alexandre Picard,LW,2004,1.4011255042961246
601,Francis Meilleur,D,2009,1.3959115734393892
602,Ryan Russell,LW/RW,2005,1.3938096728112095
603,Dylan DeMelo,D,2011,1.3908365018088071
604,Chris Doyle,C,2008,1.389611020373979
605,Donovan Neuls,C,2016,1.3892128305774323
606,Jonah Gadjovich,LW,2017,1.3870322980737597
607,Jeremie Blain,D,2010,1.3851454055867594
608,Ryan Button,D,2009,1.385104730006384
609,Ryan Culkin,D,2012,1.3848044181696584
610,Michal Jordán,D,2008,1.383480426316043
611,Jordan Sambrook,D,2016,1.382729691577708
612,Paul Stastny,C,2004,1.3818798391064815
613,Rostislav Olesz,LW/RW,2004,1.3815738568964302
614,Brett Parnham,C,2007,1.381196795440458
615,Brendan Lemieux,LW,2014,1.3801107535945953
616,Ilya Zubov,C,2005,1.3796074498411226
617,Zach Yuen,D,2011,1.379215064803964
618,Curtis Lazar,C/W,2013,1.3783708378853785
619,Kevin Fiala,LW/RW,2014,1.3779910225885743
620,Michael Amadio,C,2014,1.3768918488273116
621,Kris Foucault,LW,2009,1.3755597862246947
622,Kyle Cumiskey,D,2005,1.3744152707387172
623,Linus Nyman,LW/RW,2017,1.373998770580468
624,Lane Zablocki,RW,2017,1.372259619351481
625,Nathan Welton,D,2004,1.371588771452124
626,Chris DeSousa,C,2009,1.3711808930992082
627,Gabriel Dumont,C/W,2009,1.3709266360372658
628,Henrik Samuelsson,C/RW,2012,1.3705171219756624
629,Andreas Athanasiou,W/C,2012,1.3694021202397861
630,Justin Taylor,C,2007,1.3688512030872961
631,Dmitrij Jaskin,RW/LW,2011,1.3674400097673292
632,Jake Virtanen,RW,2014,1.3664827374208268
633,Christian Thomas,RW,2010,1.3657956747354631
634,Luke Green,D,2016,1.3645438800666607
635,Martins Karsums,LW/RW,2004,1.3642531851811968
636,Sergei Tolchinsky,LW/RW,2013,1.3637145326913978
637,Dan Lefort,D,2005,1.36359686166529
638,Rémi Blanchard,D,2008,1.363109323414902
639,Radek Smolenak,RW/LW,2005,1.3626492398106311
640,Vaclav Karabacek,RW/LW,2014,1.362464048559234
641,Adam Comrie,D,2008,1.3620779716191045
642,Marc-André Gragnani,D,2005,1.3606038579430195
643,Alexandre Picard-Hooper,LW,2005,1.3575450453360518
644,Stelio Mattheos,RW/C,2017,1.356519432057898
645,Geoff Schemitsch,D,2010,1.3554242064284034
646,Dana Tyrell,C/W,2007,1.3548965438634943
647,Kyle Wood,D,2014,1.3535369789055924
648,Eamonn McDermott,D,2010,1.352608498586597
649,Jesse Graham,D,2012,1.3498771230298328
650,David Kase,W/C,2015,1.3498249063455225
651,Brandon Hagel,LW,2016,1.348251296122764
652,Brandon Gignac,C,2016,1.3437401409023422
653,Frank Corrado,D,2011,1.342589718189104
654,Jonathan Smart,D,2017,1.3423310050916228
655,Benjamin Breault,C,2006,1.3403279421006766
656,Matt Needham,C,2013,1.338506229396211
657,Boris Katchouk,LW/RW,2016,1.3382943111890742
658,Zach Nastasiuk,RW/C,2013,1.3359633984083277
659,Nicolas Deschamps,C/LW,2008,1.3353618179133755
660,Michael Latta,C/RW,2009,1.3349641415264433
661,Jadran Beljo,LW,2005,1.3346697749311547
662,Adam Thilander,D,2017,1.3333454160730969
663,Riley Brace,RW/LW,2010,1.3318591397352946
664,Jack Studnicka,C,2017,1.3309873531486982
665,Vladimir Nikiforov,LW/RW,2006,1.3306392414676305
666,Andrei Popov,RW/C,2006,1.3290335961428876
667,Juraj Valach,D,2007,1.3263186564659508
668,Jeremiah Addison,LW,2015,1.3259827003523936
669,Michael Anderson,D,2017,1.3259023373117649
670,Tyler Haskins,C,2004,1.325203352382459
671,Daniel Erlich,LW,2009,1.3238812842620813
672,Stephen Dixon,C/LW,2003,1.3226089653967903
673,Cameron Hughes,C,2015,1.3218915743971176
674,Stephen Silas,D,2010,1.321745265174759
675,Joël Chouinard,D,2008,1.318719595551977
676,John Lidgett,F,2012,1.3178579157847277
677,Brannon McManus,C/RW,2017,1.317655519451746
678,Gemel Smith,C/W,2012,1.3175999345568596
679,Jamie Tardif,RW,2003,1.317240897231723
680,Maxim Sushko,RW,2017,1.3157698949914058
681,Garrett Allen,RW,2010,1.3150303797719824
682,Max Martin,D,2017,1.313389310606357
683,Ben Maxwell,C/LW,2006,1.312862407734823
684,Patrick Davis,RW/C,2005,1.3128593888579052
685,Brent Benson,C,2011,1.3119268655940381
686,Joël Teasdale,LW,2017,1.3118238378617666
687,Justin Kirkland,W/C,2014,1.3115382747725297
688,Ryan Rupert,C/LW,2012,1.3092123168742225
689,Zach Senyshyn,RW,2015,1.3085751511851211
690,Pontus Åberg,LW/RW,2012,1.308125010014622
691,Levko Koper,LW,2009,1.3080890060083923
692,Rourke Chartier,C,2014,1.308043409936539
693,Scott Kosmachuk,RW,2012,1.3073682301625564
694,Ryan Gropp,LW,2015,1.3059110789598674
695,Gabriel Bourret,D,2011,1.305730213581227
696,Brandon Kozun,RW,2008,1.3056060588933833
697,Cole Ully,LW/RW,2013,1.303605471212267
698,Milan Michálek,LW/RW,2003,1.3030803076480741
699,Matt Kang,LW,2007,1.303009821923498
700,Mathew Sisca,C/LW,2009,1.3029787021192192
701,Chad Painchaud,RW,2004,1.3026685193594636
702,Andrei Bordyug,C,2004,1.302319743586064
703,Brett Pesce,D,2013,1.301827115641329
704,Tyler Cuma,D,2008,1.3007452672714077
705,Andrew Agozzino,LW,2009,1.2999473691888992
706,Stanislav Galiyev,RW/LW,2010,1.2981105685638041
707,A.J. Jenks,C/W,2008,1.2973677107905932
708,Eric Fehr,C/RW,2003,1.2969112638445504
709,Lucas Lessio,LW/RW,2011,1.2950903564326208
710,Keoni Texeira,D,2015,1.2948693247490843
711,Gabe Guertler,C,2013,1.2942222234179739
712,Greg Chase,C/LW,2013,1.2940354982882118
713,Kyle Quincey,D,2003,1.2933411907718975
714,Kasperi Kapanen,RW/LW,2014,1.292956356780247
715,Jordy Bellerive,C,2017,1.2917185261336643
716,Leon Gawanke,D,2017,1.2911975143661771
717,Konstantin Glazachev,RW/LW,2003,1.2910918596640064
718,Collin Bowman,D,2009,1.2898051015046166
719,Michael Frolík,RW,2006,1.289208313044842
720,Logan MacMillan,D/F,2007,1.2890628418069772
721,Maxime Sauvé,C,2008,1.2890150278332313
722,Brett Pollock,LW/RW,2014,1.2878761919689687
723,Cliff Pu,RW/C,2016,1.2875259864305897
724,Andrew Fournier,LW,2006,1.2865048257899558
725,Spencer Machacek,RW,2007,1.28554841777596
726,Ivan Lodnia,RW,2017,1.2845765877152076
727,Jonathan Ang,C,2016,1.2838384834077972
728,Rane Carnegie,RW,2003,1.2805482737907243
729,Josh Duncan,D,2004,1.278350981250442
730,Jordan Messier,RW,2010,1.2773970256617297
731,Ondrej Kase,RW/LW,2014,1.276929741544369
732,Benjamin Mirageas,D,2017,1.274593319830763
733,Ryan Hughes,C,2017,1.2744594704697643
734,Taylor Beck,RW/LW,2009,1.2742826755961294
735,Marc-André Bernier,RW,2003,1.2735241117757732
736,Philippe Sanche,C,2013,1.2727576337538866
737,Rinat Omarbekov,F,2004,1.2727152626482472
738,Jordan Kyrou,C/RW,2016,1.272501466409059
739,Josh Leivo,RW,2011,1.2717228669067588
740,Tomas Kana,RW/C,2006,1.2707256453116826
741,Philippe Paradis,C/W,2009,1.2700397288249228
742,Mike Card,D,2004,1.2699650570309626
743,Danny Syvret,D,2003,1.2685821454439528
744,Sami Moilanen,RW,2017,1.2679688003582064
745,Patrick Holland,RW/C,2010,1.2677246791084427
746,Brandon Archibald,D,2010,1.2663872510450727
747,Tuomas Santavuori,LW,2003,1.265377131066618
748,Joey Ryan,D,2006,1.2645250390500413
749,Bruce Graham,C,2004,1.2635382536361481
750,Luke Mercer,D,2012,1.2633550443341837
751,Tate Olson,D,2015,1.26268514019872
752,Francis Charette,LW,2005,1.261038597837262
753,Ben Wright,D,2006,1.2609878618947685
754,Jeff May,D,2005,1.260286281640733
755,Guillaume Labrecque,LW,2003,1.2591584227088357
756,Justin Keller,LW,2004,1.2586224161213362
757,Pavel Karnaukhov,LW/C,2015,1.257538290982596
758,Anthony Duclair,LW/RW,2013,1.2571704878661858
759,Jesse Blacker,D,2009,1.2556378933368877
760,Philippe Lefebvre,LW,2009,1.2555690227830556
761,Jeff Desjardins,C,2007,1.2553417849743944
762,Mat Clark,D,2009,1.2549345986838019
763,Kirill Petrov,RW/LW,2008,1.2537700899329618
764,Kevin Sundher,C,2010,1.2536715039852295
765,Eric Doyle,D,2007,1.2536107922372683
766,Jakub Culek,LW,2010,1.2532881743591926
767,Nicolas Aubé-Kubel,RW,2014,1.2532026100348035
768,Mikko Kuukka,D,2004,1.2511977412255182
769,Scott Laughton,C,2012,1.2508281671684383
770,Travis Brown,D,2012,1.2499621460887096
771,Daryl Boyle,D,2005,1.2499066798776879
772,Andrew Mangiapane,LW,2014,1.2498840146308423
773,Brent Howarth,LW,2005,1.2483660232459681
774,Phil Baltisberger,D,2014,1.2477681986306788
775,Michael Bunting,LW,2014,1.2470959077176227
776,Sam Nyberg,D,2009,1.2448023395342367
777,Max Jones,LW,2016,1.2443127375022704
778,Julien Gauthier,RW,2016,1.2443039689613795
779,Brett McKenzie,C,2015,1.2441686316353757
780,David Desharnais,C/LW,2004,1.244028904650396
781,Peter Cehlárik,LW/RW,2013,1.24391891453927
782,Mirco Müller,D,2013,1.2431590621801023
783,Nathan Walker,LW,2012,1.2403785437563077
784,Philippe Dupuis,C/RW,2003,1.2401946896636042
785,Roman Bashkirov,RW,2007,1.239664352591638
786,Steven Kampfer,D,2007,1.238908521452168
787,Mike Vernace,D,2004,1.2371373853479506
788,Pius Suter,C/LW,2014,1.234771833983833
789,Ryan White,C/RW,2006,1.2333934525753394
790,Peter Hermenegildo,D,2009,1.2330907630931534
791,Braylon Shmyr,LW,2015,1.231786156697238
792,Zach Golembiewski,F,2009,1.231718558342127
793,Jeremy Akeson,LW,2003,1.231358050820596
794,Craig Schira,D,2006,1.229418415643321
795,Trevor Kell,RW,2004,1.2286351398469315
796,Éric Castonguay,C/LW,2006,1.2278931089508462
797,Joonas Donskoi,RW/LW,2010,1.2274736362935195
798,Freddie Hamilton,C/W,2010,1.227157925754581
799,Brent Regner,D,2007,1.2252412391741108
800,Yevgeni Erger,F,2004,1.225128696676697
801,Cody Sylvester,C/LW,2010,1.2246041978067683
802,Denis Istomin,F,2005,1.2232568381535716
803,Patrik Lusnak,LW/RW,2007,1.2230838560699344
804,Wes O'Neill,D,2004,1.2229837839448159
805,Petteri Nokelainen,C,2004,1.2224537756486489
806,Ivan Chekhovich,LW,2017,1.2210894749336152
807,Matt Corrente,D,2006,1.2197472591206493
808,Félix-Antoine Chabot,D,2011,1.2194778517439904
809,Benjamin Gleason,D,2016,1.219092108446067
810,Patrick McNeill,D,2005,1.2185230797344668
811,Dmitri Klopov,C/LW,2008,1.2157841416720934
812,Casey Cizikas,C,2009,1.2139890497114085
813,Elgin Reid,D,2005,1.2134742709764548
814,Jake Ryczek,D,2016,1.212463701901556
815,Kevin Baker,C,2005,1.2120466814274173
816,Michael Zipp,D,2015,1.2113901820874995
817,Edgars Kulda,LW,2013,1.2113242624889864
818,Sean Durzi,D,2017,1.2105419940278477
819,Olivier Galipeau,D,2015,1.2103861642146958
820,Ilkka Heikkinen,D,2003,1.2092311830822262
821,Anthony Beauregard,C,2014,1.2087279861713824
822,Julian Talbot,LW/C,2003,1.20781190151606
823,Julien Demers,D,2008,1.2072009414767684
824,Carter Ashton,RW/LW,2009,1.206311403426395
825,Eric Tangradi,LW,2007,1.2062184629766253
826,Guillaume Goulet,RW,2009,1.2058518274929604
827,Travis Sanheim,D,2014,1.2042135770718918
828,Mitch Maunu,D,2004,1.2034912795049268
829,Dillon Simpson,D,2011,1.2014399557463293
830,Nate Hagemo,D,2005,1.2010278042945715
831,Mark Kress,C,2004,1.200251948451072
832,David Schlemko,D,2005,1.199194827513745
833,Jérémy Grégoire,C,2013,1.1991583925325473
834,Maxime Macenauer,C/LW,2007,1.1983927534630472
835,Francis Verreault-Paul,C/RW,2005,1.1945199540106168
836,Cody Goloubef,D,2008,1.1916185321153296
837,Santino Centorame,D,2014,1.189573239747974
838,Erik Bradford,C,2013,1.1889674370875678
839,Mike Duco,W/C,2005,1.1856631871264034
840,Macoy Erkamps,D,2013,1.184366681496063
841,Alexx Privitera,D,2011,1.1798231590701969
842,Simon Danis-Pépin,D,2006,1.1786624869008442
843,Yannick Riendeau,RW/LW,2006,1.1785917637211099
844,Francis Perron,LW/RW,2014,1.1770438271423256
845,Danny Biega,D,2010,1.173056019980216
846,Dave Pszenyczny,D,2003,1.1730410704771408
847,Maxime Mallette,D,2007,1.1720341958344458
848,Richard Pánik,RW/LW,2009,1.167976105355202
849,Arttu Ruotsalainen,C/LW,2016,1.1661203573200452
850,Mika Zibanejad,C,2011,1.1650784520336452
851,Geordie Wudrick,LW,2008,1.1638109579769522
852,Yevgeni Kuznetsov,C,2010,1.1605624388334406
853,Jeff Caron,D,2004,1.1588142888915827
854,Jamie Fraser,D,2004,1.1583502000849633
855,Peter Abbandonato,C,2016,1.1579179695872743
856,Justin Donati,C,2005,1.1576030327308393
857,Robert Slaney,LW/C,2007,1.1546762294149882
858,Frankie Simonelli,D,2011,1.1524012719415573
859,Roman Starchenko,RW/C,2004,1.151255264921847
860,Adam Pineault,RW,2004,1.1509085235786305
861,Joe Gatenby,D,2015,1.150710671763886
862,Mathieu Aubin,C,2005,1.1502991213858442
863,Miikka Salomäki,W/C,2011,1.1491911164534625
864,Craig Duininck,D,2011,1.1484560589834336
865,David Gilbert,C,2009,1.1475201503055064
866,John Esposito,C,2010,1.1471139422019025
867,Chad Denny,D,2005,1.1470776212369889
868,Dante Hannoun,C,2016,1.145521420070716
869,Sebastian Aho,D,2014,1.1445856888768395
870,Jim O'Brien,C/RW,2007,1.144354596101151
871,Jacob Lagacé,C/RW,2008,1.1438295948730803
872,Toni Rajala,LW/RW,2009,1.1436291350317953
873,Ryan Smyth,RW,2003,1.1425782934721924
874,Tyler Donati,RW/LW,2005,1.1419558640744985
875,Stephen MacAulay,LW/C,2010,1.1409251821229107
876,Eric O'Dell,C,2008,1.1407740958781742
877,Ryan Bellows,LW,2006,1.1407002981248269
878,Lauri Tukonen,RW/LW,2004,1.137515296000518
879,Teemu Pulkkinen,RW,2010,1.1373630629991769
880,Spencer Churchill,F,2007,1.137184179486146
881,Ryan Poehling,C,2017,1.1368404019924039
882,A.J. Greer,LW,2015,1.1367580817337415
883,Keevin Cutting,D,2011,1.1343744210192699
884,Aleksi Saarela,C/LW,2015,1.1323806346086718
885,Jesse Joensuu,LW,2006,1.1322416085324747
886,Mark Zarbo,D,2007,1.1318910017406996
887,Nick Sucharski,LW,2006,1.1318287493318995
888,Steve Birnstill,D,2004,1.1301928123073945
889,Mark Kolanos,RW,2003,1.129868108549369
890,Riley Simpson,LW,2012,1.1298485642146257
891,Dmitri Sinitsyn,D,2012,1.12914579124016
892,David Rundblad,D,2009,1.1285655213642833
893,Calle Järnkrok,C/W,2010,1.1285122311776246
894,Geoff Platt,LW,2003,1.1283443527408
895,Matt Cohen,D,2004,1.1283172208392935
896,Nelson Armstrong,D,2012,1.1283039807053479
897,Kyle Rau,C/LW,2011,1.1275962305500096
898,Matt Lashoff,D,2005,1.126507727639538
899,Petr Freiberg,F,2006,1.1251531045867111
900,James Melindy,D,2012,1.122933321938028
901,Patrick Koudys,D,2011,1.1227072719160296
902,Kyle Wilson,C,2003,1.1213256022901186
903,Saku Salminen,C/LW,2013,1.120962075235422
904,Dustin Perillat,D,2015,1.120426542044966
905,Luke Martin,D,2017,1.1201061036851025
906,Tyler Swystun,RW,2006,1.119198663825565
907,Stefan Meyer,LW,2003,1.1172921953037815
908,Erik Burgdoerfer,D,2007,1.1167754911922962
909,Cody Eakin,C,2009,1.115571920745996
910,Roman Szturc,RW,2008,1.1155054704551082
911,Martin Frk,RW,2012,1.114790514462538
912,Brett Flemming,D,2009,1.1126401162576065
913,David Kveton,LW/RW,2006,1.1124875438833612
914,Joonas Nättinen,C/RW,2009,1.112332582963976
915,Filip Chytil,C/LW,2017,1.1113034006948381
916,Ryan Garlock,C/LW,2004,1.1112201394854073
917,Petteri Lindbohm,D,2012,1.1111660479790184
918,Alex Staudt,D,2003,1.110845433445169
919,Kevin Davis,D,2015,1.1103991572532277
920,Todd Perry,D,2005,1.1100058885702735
921,Michael Spacek,RW/C,2015,1.1084935567984082
922,Maxime Tanguay,C,2007,1.1084881566447276
923,Rasmus Kulmala,C/W,2012,1.1067328421265894
924,Marc Staal,D,2005,1.1055799057589295
925,Kris Letang,D,2005,1.1037161305097842
926,Mark Mitera,D,2006,1.1034425852765346
927,Jacob Josefson,C,2009,1.1014293719857884
928,Tim Erixon,D,2009,1.09994142518279
929,Stepan Novotny,C/RW,2009,1.097610176511017
930,Jordan Szwarz,RW,2009,1.096780683317919
931,Timothy Gettinger,LW,2016,1.0940941066325607
932,Reid Gow,D,2012,1.092142602818044
933,Codey Burki,C,2006,1.091883323572678
934,Jonathan Brunelle,LW,2010,1.0916254142454154
935,Connor Rankin,C/LW,2013,1.0914633282142223
936,Ostap Safin,RW,2017,1.090011296958091
937,Michal Sersen,D,2004,1.0894607596056567
938,Tomas Kubalik,RW,2008,1.0894282571927119
939,Matthew Boucher,LW,2016,1.089052848289608
940,Lukas Kaspar,LW/RW,2004,1.0875305727416236
941,Tommi Huhtala,LW,2006,1.0859988279194823
942,Jiri Tlusty,LW/RW,2006,1.0831406321953598
943,Tyler Maxwell,C/D,2009,1.082528535004068
944,Matt Tipoff,C/LW,2009,1.0814521631210046
945,Cody Beach,RW,2010,1.0813877496386992
946,Joey Hishon,C,2010,1.0792804520617516
947,Matthew Hansen,D,2003,1.0790557556535219
948,Tyler Wotherspoon,D,2011,1.078724103076433
949,Julien Brouillette,D,2005,1.075128184991065
950,Lukas Andel,LW,2016,1.0734658631618257
951,Masi Marjamäki,LW,2003,1.0734032275704724
952,Andrey Pedan,D,2011,1.072550615629381
953,Rickard Rakell,C/W,2011,1.068092167601129
954,Anthony Bardaro,C,2011,1.066564528358526
955,David Svagrovsky,RW,2003,1.065024057819957
956,Mikaël Tam,D,2009,1.0650139220030668
957,Alec Martinez,D,2005,1.0632891964849243
958,Matthew Spencer,D,2015,1.0626577218444135
959,Alex Émond,LW/C,2010,1.060376760380041
960,Alexander Kregan,F,2014,1.059472342303986
961,Ville Räsänen,D,2017,1.0565514764961952
962,Theo Peckham,D,2006,1.0560135390790066
963,Marc Methot,D,2003,1.0558093979681444
964,Ben Carroll,D,2013,1.0533279170246042
965,Pascal Amyot,D,2008,1.0519487532268896
966,Jiri Drtina,D,2003,1.0511527149431563
967,Jacob Neveu,D,2016,1.049883206398167
968,Jakub Sindel,C/W,2004,1.0482815081143404
969,Chris Tierney,C,2012,1.0475467736617883
970,Brett Carson,D,2004,1.047290166023939
971,Renars Krastenbergs,W,2017,1.0470789369961795
972,Kristian Reichel,C,2016,1.045760559770752
973,Alexei Vorontsov,LW,2004,1.0390773838154703
974,Alec Mahalak,D,2016,1.0374057805358925
975,Janne Kuokkanen,C/W,2016,1.035000290102157
976,Lawrence Pilut,D,2014,1.0254665956803768
977,Félix Petit,C,2006,1.0205575814278416
978,Olli-Pekka Havikari,D,2003,1.0197929619648882
979,Riley Day,D,2004,1.0185585488517996
980,Rihards Bukarts,LW/RW,2014,1.0156924686508824
981,Zack Fitzgerald,D,2003,1.0155210991414858
982,William Colbert,D,2003,1.0150856670076924
983,Keegan Iverson,RW/C,2014,1.0138372718863515
984,Tobias Enström,D,2003,1.0099832762471195
985,Anton Grundel,D,2008,1.0078076349693954
986,David Miller,C,2015,1.0071812854663862
987,Teemu Jäske,D,2004,1.0052163570596502
988,Michael Caruso,D,2006,1.0050914896352146
989,Gabriel Bourque,LW/RW,2009,1.0039080997487706
990,Drew Schiestel,D,2007,1.003209538054017
991,Kirill Kaprizov,LW/RW,2015,0.9993659886092119
992,Timothy Liljegren,D,2017,0.9971887460952135
993,Luc Bourdon,D,2005,0.9970701283908903
994,Danick Gauthier,C/LW,2010,0.9922998869789605
995,Nolan Volcan,LW,2016,0.991444361880629
996,Rob Mignardi,RW,2008,0.9895370688631895
997,Jordan Mayer,C,2009,0.9895026474046569
998,Ryan Stone,LW,2003,0.9874896910509325
999,Mark Flood,D,2003,0.9861308338245429
