,Player,Position,draft_score
521,Édouard St-Laurent,C,0.14805203365345118
522,Cole Clayton,D,0.14781071915899108
523,Isaac Walker,D,0.14767902576921882
524,Ty Ettinger,D,0.14738244087766672
525,Zacharie Ouellet,D,0.14710895195883278
526,Devan Harrison,D,0.14670869172396916
527,Luke Beamish,D,0.14630065264519668
528,Seth Bafaro,D,0.14621169964652855
529,Frédérik Théoret,LW,0.14581299277576873
530,Matt Leduc,D,0.14510623726479
531,Loïc Jarry,D,0.14479189601708115
532,Samuel Hatto,C,0.14472661413563942
533,Konrad Belcourt,D,0.1446772187477421
534,William Basque,F,0.14456850392721882
535,Zachery Bennett,D,0.14453918879811567
536,Evan MacKinnon,C/LW,0.14445012308939756
537,Thomas Caron,F,0.14413031622890793
538,Bastian Eckl,RW,0.14410016334507
539,Jack Sander,D,0.14347624739883486
540,Alex Plamondon,C,0.1433218472120345
541,Jérémy Laframboise,F,0.14218087175112293
542,Luke Zazula,D,0.14210993888591783
543,Loeden Schaufler,D,0.14198432645859893
544,Samuel Ianniciello,LW,0.14188161999516863
545,Édouard Ouellet,RW,0.1409197394155314
546,Jayden Platz,D,0.14076805530841166
547,Samuel Naud,RW,0.1407229111071006
548,Mason Hardy,D,0.14043000085891374
549,Tyler Hungerbuhler,D,0.1403614360879698
550,Maxime Collin,LW,0.13969535912654946
551,Hunter Donohoe,D,0.13926354550001216
552,Emmett Gordon,D,0.1387557510689147
553,Kyle Pow,D,0.13864632238454977
554,Samuel Dickner,LW,0.13862091567557208
555,Olivier Crête-Belzile,LW/D,0.13857939948099265
556,Marcel Berube,C,0.13828872927125965
557,Sean Strange,D,0.13816820920107825
558,Hugo Savinsky,D,0.1380171635233228
559,Tyson Terretta,D,0.1379124959979379
560,Nathan Ouellet,RW,0.1378483005995148
561,Gregory Kreutzer,D,0.1374885737683787
562,Anthony D'Amours,D,0.13744746531468702
563,Mikhail Shestopalov,LW,0.13707290736338645
564,Olivier Mathieu,F,0.1368195238689755
565,Olivier Bourret,LW,0.13636574722157246
566,Ryan MacLellan,D,0.13595903910718196
567,Métis Roelens,F,0.1359368477774039
568,Andrew Viggars,D,0.1357469310068512
569,Connor Senken,D,0.13516026469788917
570,Benjamin Thibeault,D,0.13432253807824895
571,Nathaniel Doyon,RW,0.1342460788067949
572,Félix Paré,F,0.13415323313325547
573,Kyle Havlena,D,0.1327763629430737
574,Tomas Dajcar,D,0.13267839889468674
575,Félix-Antoine Drolet,D,0.132582319263349
576,Gabriel Villeneuve,D,0.1325765218268868
577,Jack Tucker,D,0.13215659942112923
578,Alexandre Couture,RW,0.1315523657413481
579,Conner Hutchison,D,0.1285735083808132
